text,category,sentiment
i wnt help swapping several items of order {{Order Number}},Product Inquiry,Positive
I need assistance to check the current status of the rebate,Billing,Neutral
where do i inform of payment problems,Billing,Negative
update details on gold account,Account Access,Neutral
where to earn several of your product?,Product Inquiry,Neutral
need assistance with opening my {{Account Type}} account,Account Access,Neutral
I have troubles editing my address,Product Inquiry,Negative
can ya tell me about an address correction,Product Inquiry,Neutral
"I have to speak to customer service , can I get some help?",Technical Support,Positive
help to check the ETA of order {{Order Number}},Product Inquiry,Positive
I can't create a {{Account Category}} account,Account Access,Negative
"I need to file a reclamation, how can I do it?",Technical Support,Neutral
there are errors setting up a damn delivery address,Product Inquiry,Negative
help me to check when will my article arrive,Product Inquiry,Positive
help me finding invoice #85632,Billing,Positive
i want help to speak with customer assistance,Technical Support,Positive
would it be possible to cancel a {{Account Category}} account?,Account Access,Negative
"I have to see the early termination charge, can you help me?",Technical Support,Positive
contact agent,Technical Support,Neutral
I need help retrieving my goddamn account password,Account Access,Negative
editing {{Account Type}} account,Account Access,Neutral
how to cancel order {{Order Number}}?,Product Inquiry,Negative
I'm trying to se the withdrawal fees,Technical Support,Neutral
is it possible to unsubscribe to the company newsletter?,Technical Support,Neutral
I want assistance to cancel purchase {{Order Number}},Product Inquiry,Negative
change information on {{Account Category}} account,Account Access,Neutral
i do ont know how to send fucking feedback for a service,Technical Support,Neutral
I need to swap an item of purchase {{Order Number}},Product Inquiry,Neutral
issue submitting the secondary delivery address,Product Inquiry,Neutral
get money back,Billing,Neutral
I need assistance editing the address,Product Inquiry,Neutral
where do I report an issue with payments ?,Billing,Neutral
i have a probelm with the password retrieval,Account Access,Neutral
is it possible to cancel order {{Order Number}} ?,Product Inquiry,Negative
I don't know what I need to do to see the termination fees,Technical Support,Neutral
want help updating my address,Product Inquiry,Positive
want assistance notifying of an error with payments,Billing,Negative
I have got to set my secondary shipping address up,Product Inquiry,Neutral
I am trying to unsubscribe from your company newsletter,Technical Support,Neutral
can I check in what cases can I request the damn refunds?,Billing,Negative
I can't find the early termination fee,Technical Support,Neutral
I have got to contact customre support,Technical Support,Positive
i have a question about opening pro accounts,Account Access,Neutral
cance order {{Order Number}},Product Inquiry,Neutral
help talking  with a live agent,Technical Support,Positive
i have to shop several articles,Product Inquiry,Neutral
i try to see ur reimbursement policy,Billing,Neutral
I am trying to cancel purchaes {{Order Number}},Product Inquiry,Negative
can you help me talking with customer assistance?,Technical Support,Positive
I am trying to see your accepted payment methods,Billing,Positive
"I want to earn some goddamn items, I need assistance",Product Inquiry,Negative
I want assistance to see my invoices from {{Person Name}},Billing,Positive
I want assistance notifying of a sign-up error,Technical Support,Negative
I'd like to change to the standard acconut,Account Access,Positive
shipmetns to {{Delivery City}},Product Inquiry,Neutral
how to speak with somebody ?,Technical Support,Neutral
how could I check purchase {{Order Number}} status?,Product Inquiry,Neutral
I don't know how to submit a delivery address,Product Inquiry,Neutral
how to reset my user profile key?,Account Access,Neutral
can ya direct to me an assistant,Technical Support,Neutral
there are errors submitting the new shipping address,Product Inquiry,Negative
updating address,Product Inquiry,Neutral
can ya  help me to speak with customer assistance,Technical Support,Positive
can ya help me cancel order {{Order Number}},Product Inquiry,Positive
i cant makr a transfer help me report a payment error,Billing,Negative
I need help canceling order {{Order Number}},Product Inquiry,Positive
i want help to shop some producgs,Product Inquiry,Positive
checking bill from {{Person Name}},Billing,Neutral
I do not know how to submit some feedback,Technical Support,Neutral
i do not know what i have to do to chat with somebody,Technical Support,Neutral
i do not kow how i can create a {{Account Type}} account,Account Access,Positive
i have problems with creating  my freemium account,Account Access,Negative
can uhelp me to locate order {{Order Number}},Product Inquiry,Neutral
where could I see your payment modalities?,Billing,Neutral
assistance updating the info included on my user account,Account Access,Neutral
I need help talking with customer service,Technical Support,Positive
where to check how long it takes for my delivery to arrive,Product Inquiry,Neutral
"I have to check the early exit fees, help me",Technical Support,Positive
i cannot see the eta of order {{Order Number}},Product Inquiry,Neutral
I try to notify of errors with online payment,Billing,Negative
i want assistance downloading the bills from {{Person Name}},Billing,Positive
lodging reclamation against your company,Technical Support,Neutral
I need help checking the early exit charge,Technical Support,Positive
how do i change an item of order {{Order Number}},Product Inquiry,Neutral
what do i need to do to report prbolems with payment,Billing,Neutral
i need help to submit my feedback for a service,Technical Support,Positive
"I cannot make a payment, I need help notifying of errors",Billing,Positive
I want assistance to talk to a human agent,Technical Support,Positive
need assistance to get the invoices from {{Person Name}},Billing,Neutral
I have a question about a password recovery,Account Access,Neutral
assistance to check in what cases can I ask to be refunded,Billing,Neutral
"I have to see order {{Order Number}} status, I need assistance",Product Inquiry,Neutral
I cannot switch to the {{Account Type}} account,Account Access,Neutral
"I want to submit my secondary shipping address, help me",Product Inquiry,Positive
"I paid {{Currency Symbol}}{{Refund Amount}} for this item, want help to get a rebate",Billing,Positive
i cannot check if there are any news on the compensation,Billing,Neutral
where do i request a reimbursement of money,Billing,Neutral
want help lodging a customer claim against your organization,Technical Support,Positive
show me in which situations can I ask for reimbursements,Billing,Neutral
I don't know what to do to inform of an error with a sign-up,Technical Support,Negative
"I havve to sign up to the newsletter, I need assistance",Technical Support,Neutral
want assistance to download my invoice #12588,Billing,Positive
"I am having an error signing up, can I get some help?",Technical Support,Neutral
I need help to report a problem with a registration,Technical Support,Neutral
help me to check your reimbursement policy,Billing,Positive
i try to check how long itg takes for the shipment to arrive,Product Inquiry,Neutral
there are errors setting up the new shipping address,Product Inquiry,Negative
want help making a claim against ur organization,Technical Support,Positive
need assistance to see how soon can I expect my article,Product Inquiry,Neutral
"I have got to shop a damn item, how to do it?",Product Inquiry,Negative
I have to inform of issues with a registration,Technical Support,Neutral
correcting infornation on {{Account Type}} account,Account Access,Neutral
do ya deoiver to {{Delivery City}},Product Inquiry,Neutral
"I have got to see what shipping methods are there, help me",Product Inquiry,Positive
I'm trying to get my damn bills from {{Person Name}},Billing,Negative
will ya shwo me the eta of order {{Order Number}},Product Inquiry,Neutral
I want to retrieve my key,Account Access,Positive
how can i get information about the options for delivery,Product Inquiry,Neutral
modify {{Account Category}} account,Account Access,Neutral
where can I find information about my pro account removal?,Account Access,Neutral
help checking your accepted payment options,Billing,Positive
i do not know how to buy several of ur item,Product Inquiry,Neutral
what do I have to do to lodge a complaint?,Technical Support,Negative
can I order from {{Delivery City}}?,Product Inquiry,Neutral
i try to rettieve my profile access key,Account Access,Neutral
i need assistance tracking purchase {{Order Number}},Product Inquiry,Neutral
assistance to chat with a person,Technical Support,Neutral
"I am looking for shipping period, will you help me?",Product Inquiry,Positive
how to see if there is anything wrong with the restitution?,Billing,Negative
i need assistance giving a quick look at the invoice #12588,Billing,Positive
what are the fees for canceling the contract?,Technical Support,Neutral
is it possible to talk with customer assistance?,Technical Support,Neutral
how to use the standard profile,Account Access,Neutral
I do not know what I need to do to buy some items,Product Inquiry,Neutral
help me checking the status of my newsletter subscription,Technical Support,Positive
I do not know how to cancel purchase {{Order Number}},Product Inquiry,Negative
I need helpto cancel order {{Order Number}},Product Inquiry,Negative
I try to chat with an operator,Technical Support,Neutral
help to check what hours I can call customer support,Technical Support,Positive
"I have lost bill #37777, could you send it to me?",Billing,Negative
is it possible to get my bill #00108?,Billing,Neutral
help me delete my {{Account Category}} accoun,Account Access,Positive
where to check the restitution status?,Billing,Neutral
I have an issue editing the shipping address,Product Inquiry,Neutral
"I have lost bill #12588, can you mail it to me?",Billing,Negative
i have to inform of a payment issue,Billing,Neutral
correct data on {{Account Category}} account,Account Access,Neutral
how to unsubscribe from ur corporate newsletter,Technical Support,Neutral
want help to make a consumer complaint against ur company,Technical Support,Positive
how could I purchase several products?,Product Inquiry,Neutral
I'm trying to submit a shipping address,Product Inquiry,Neutral
I'm waiting for an goddamn restitution of {{Refund Amount}} dollars,Billing,Negative
I have an issue editing the address,Product Inquiry,Neutral
"I want to see your reimbursement policy, I need assistance",Billing,Positive
I need help receiving refunds,Billing,Positive
I do not know what todo to chat with a live agent,Technical Support,Neutral
I am trying to check the accepted payment modalities,Billing,Positive
I have got to check if there are any news on the restitution,Billing,Neutral
need assistance cancelinv purchase {{Order Number}},Product Inquiry,Neutral
need assistance changing the details on my profile,Account Access,Neutral
where do i subscribe to ur corporate newsletter,Technical Support,Neutral
I'm trying to set another delivery address up,Product Inquiry,Neutral
can uhelp me leave a damn review for a service,Technical Support,Negative
"I paid {{Currency Symbol}}{{Refund Amount}} for an item, help me receive my money back",Billing,Positive
i have got to modify my shipping address how to do it,Product Inquiry,Neutral
I have to update my shipping address,Product Inquiry,Neutral
there is an issue entering my delivery address,Product Inquiry,Neutral
need to inform o a signup error,Technical Support,Negative
could you tell me more about creating a platinum account?,Account Access,Positive
need help to download my invoice #37777,Billing,Positive
help to check your damn money back guarantee,Billing,Positive
information about opening {{Account Category}} accounts,Account Access,Neutral
can you help me speaking to an assistant?,Technical Support,Positive
where to change to the goddamn {{Account Type}} account?,Account Access,Negative
I want assistance checking the cancellation penalties,Technical Support,Positive
where can i inform of problems with online paymeny,Billing,Negative
I want to get bill #37777,Billing,Positive
help me to change several products of purchase {{Order Number}},Product Inquiry,Positive
"I can't open an account, where do I report a signup issue?",Technical Support,Neutral
there is an issue trying to change my shipping address,Product Inquiry,Neutral
I call to check the shipment options,Product Inquiry,Neutral
can i place an order from {{Delivery City}},Product Inquiry,Neutral
what do I need to do to buy an item?,Product Inquiry,Neutral
can uhelp me see the currnt status of order {{Order Number}},Product Inquiry,Neutral
how to open a {{Account Type}} account for my fiance,Account Access,Neutral
I want help to enter a damn secondary delivery address,Product Inquiry,Positive
"I have to sign up to your newsletter, I need assistance",Technical Support,Neutral
I have got to subscribe to the fucking newsletter,Technical Support,Neutral
changing info on freemium account,Account Access,Neutral
i want help modifying the address,Product Inquiry,Positive
is it possible to change to the {{Account Type}} account?,Account Access,Neutral
I am trying to check the cancellation charges,Technical Support,Negative
help me use the freemium profile,Account Access,Positive
assistance looking for my invoices from {{Person Name}},Billing,Neutral
I need to report a problem with online payment,Billing,Negative
i do not know how to cancel order {{Order Number}},Product Inquiry,Negative
assistance seeing what shipment methods you offer,Product Inquiry,Neutral
I do not knowwhat I need to do to get invoice #85632,Billing,Neutral
"I have not signed up, can I open a platinum account?",Account Access,Neutral
what do I need to do to recover the pwd of my profile?,Account Access,Neutral
I do not know how I can leave my feedback for your services,Technical Support,Negative
"I would like to do a purchase, can you help me?",Product Inquiry,Positive
check current status of purchase {{Order Number}},Product Inquiry,Neutral
editing {{Account Category}} account,Account Access,Neutral
see order {{Order Number}} current status,Product Inquiry,Neutral
I expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
I don't know what I need to do to speak to customer service,Technical Support,Neutral
how do I cancel my subscription to the newsletter ?,Technical Support,Negative
can uhelp me changing to the standard account,Account Access,Neutral
I don't know what I need to do to contact a live agent,Technical Support,Neutral
can ya help me to modify the delivery address,Product Inquiry,Positive
I have got to inform of an issue with online payments,Billing,Neutral
change info on {{Account Type}} account,Account Access,Neutral
I have got to set a secondary delivery address up,Product Inquiry,Neutral
where to make a consumer claim?,Technical Support,Neutral
"someone stole my PIN, I want assistance to restore it",Account Access,Positive
how can i notify of errors with a sign-up,Technical Support,Negative
I want help to recover the PIN of my user profile,Account Access,Positive
I need to check how long rimbursements take,Billing,Neutral
i have to notify of problems with registrations,Technical Support,Negative
modify info on {{Account Type}} account,Account Access,Neutral
check in which cases can I ask for a refund,Billing,Neutral
what do I need to do to change the address?,Product Inquiry,Neutral
could you help me to open a premium account?,Account Access,Positive
help me check ur available payment options,Billing,Positive
check invoice #85632,Billing,Neutral
i  have lost my account access key where can i recover it,Account Access,Negative
help me cancelling purchase {{Order Number}},Product Inquiry,Positive
I want assistance canceling purchyase {{Order Number}},Product Inquiry,Positive
is it possible to see the available pyment options,Billing,Neutral
there is a trouble setting up a delivery address,Product Inquiry,Negative
I need assistance getting in touch with customer support,Technical Support,Positive
help me check what hours i can call customer assistancr,Technical Support,Positive
list the allowed payment modalities,Billing,Neutral
I want help cancellkng purchase {{Order Number}},Product Inquiry,Positive
I'd like to  check what hours customer support available is,Technical Support,Positive
i wan assistance checking how soon can i expect the purchase,Product Inquiry,Neutral
give a quick look at the invoice #12588,Billing,Neutral
help to see when my purchase is going to arrive,Product Inquiry,Positive
changkng to platinum account,Account Access,Neutral
getting invoice from three purchases ago,Billing,Neutral
I cannot submit another shipping address,Product Inquiry,Neutral
"I don't want the freemium account, I need help to close it",Account Access,Positive
how can i see how long it takes for the parcel to arrive,Product Inquiry,Neutral
can you help me getting invoice #37777?,Billing,Positive
there is a problem with my registration,Technical Support,Negative
want assistance notifying of problems with online payment,Billing,Negative
help me obtain a compensation of money,Billing,Positive
i want help to see ur allowed payment modalities,Billing,Positive
I need help retrieving my account access key,Account Access,Positive
I need to see if there are any updates on my rebate,Billing,Neutral
upddate order {{Order Number}},Product Inquiry,Neutral
I don't knowhow to cancel purchase {{Order Number}},Product Inquiry,Positive
i need help to add something to order {{Order Number}},Product Inquiry,Positive
could I open a standard account?,Account Access,Neutral
correct data on premium account,Account Access,Neutral
find information about my newsletter subscription,Technical Support,Neutral
I don't know how to see what delivery options I have,Product Inquiry,Neutral
help me check the ETA of order {{Order Number}},Product Inquiry,Positive
question about cancelling order {{Order Number}},Product Inquiry,Negative
i do not know how i can see the current status of the rebate,Billing,Neutral
I don't know what to do to sign up to your newsletter,Technical Support,Neutral
assistance to talk to customer support,Technical Support,Positive
i do not know how i could switch tto the standard account,Account Access,Neutral
can you help me restore my fucking profile password?,Account Access,Positive
i want assistance seeing the early exit charges,Technical Support,Negative
help with creating my {{Account Type}} account,Account Access,Positive
see the withdrawal penalties,Technical Support,Neutral
need assistance to see your accepted payment options,Billing,Positive
how to submit my feedback about your company?,Technical Support,Neutral
wanna talk to a human agent,Technical Support,Neutral
wanna leave a review about a product how to do it,Technical Support,Negative
need help getting the invoices from {{Person Name}},Billing,Positive
I'm calling to leave a comment about a service,Technical Support,Negative
closing {{Account Category}} account,Account Access,Neutral
can i order frlm {{Delivery City}},Product Inquiry,Neutral
"I expect a goddamn compensation of {{Currency Symbol}}{{Refund Amount}}, was it processed",Billing,Negative
I want information about updating order {{Order Number}},Product Inquiry,Positive
i dont know what to do to locate my bill from {{Person Name}},Billing,Neutral
acquire several of your item,Product Inquiry,Neutral
I have got to check your refund policy,Billing,Neutral
want help to shop a few of ur article,Product Inquiry,Positive
what do I need to do to check your accepted payment methods?,Billing,Positive
"I have to locate bill #12588, can you help me?",Billing,Positive
is it possible to check in what cases can I request refunds?,Billing,Neutral
how do I remove something from order {{Order Number}}?,Product Inquiry,Neutral
i try to check how soon can i expect my article,Product Inquiry,Neutral
"I can't sign up, I want help to inform of signup issues",Technical Support,Positive
i do not know how to speak with an opeator,Technical Support,Neutral
help touse the {{Account Category}} profile,Account Access,Positive
can uhelp me see my reimbursement current status,Billing,Neutral
need help checking whatt hours customer support available is,Technical Support,Positive
"I have got to enter a new shipping address, help me",Product Inquiry,Positive
see early exit penalties,Technical Support,Neutral
how to check the early termination fee ?,Technical Support,Neutral
"I ordered some products, how to cancel purchase {{Order Number}}?",Product Inquiry,Negative
updating platinum accojnt,Account Access,Neutral
how can I purchase several of your article?,Product Inquiry,Neutral
could you mail me my goddamn invoices from {{Person Name}}?,Billing,Negative
i cant retrieve my account eky,Account Access,Neutral
create new {{Account Type}} account for daughter,Account Access,Positive
see restitution current status,Billing,Neutral
I am waiting for a reimburswment of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
i need help to add several product to order {{Order Number}},Product Inquiry,Positive
I need to file a customer claim against your organizaion,Technical Support,Neutral
I do not know how I can chat with an agent,Technical Support,Neutral
I want help deleting something from purchase {{Order Number}},Product Inquiry,Positive
check purchase {{Order Number}} current status,Product Inquiry,Neutral
what do i have to do to report errors with payments,Billing,Negative
assistance to check the ETA of the purchase {{Order Number}},Product Inquiry,Neutral
can i see what hours customer support availabl is,Technical Support,Positive
i want information about my fucking newsletter subscriptino,Technical Support,Positive
how to shop a few of ur article,Product Inquiry,Neutral
i do not know what to do to rerquest a compensation of money,Billing,Neutral
want assistance opening a standard account,Account Access,Positive
can you help me to see your accepted payment modalities?,Billing,Positive
i dont know what i need to do to cancel my standard account,Account Access,Negative
I do not know how I can buy several items,Product Inquiry,Neutral
"I have not signed up yet, help creating a gold account",Account Access,Positive
I am waiting for an refund of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
I do not know how to get in touch with customer assistance,Technical Support,Neutral
I try to know if there are any updates on my restitution,Billing,Neutral
where do I reset my user account key?,Account Access,Neutral
I don't know what to do to get compensations of my money,Billing,Neutral
how do i ese when will my package arrive,Product Inquiry,Neutral
I do not know how I could write an opinion for a product,Technical Support,Neutral
show cancellation charges,Technical Support,Negative
are there early exit fees?,Technical Support,Neutral
can I see the accepted payment modalities?,Billing,Positive
i want help seeing theeta of purchase {{Order Number}},Product Inquiry,Positive
I can't receive the damn corporate newsletter,Technical Support,Positive
I do not know what I have to do to delete a gold account,Account Access,Neutral
i want help acquiring an article,Product Inquiry,Positive
"I have to list your allowed payment options, how do I do it?",Billing,Neutral
are the charges of ur services reimbursable,Billing,Negative
help me obtaining a reimbursement of money,Billing,Positive
"I can't pay, where do I report errors with payment?",Billing,Negative
i have an issue setting an different shipping address up,Product Inquiry,Neutral
I am waiting for an restitution of {{Refund Amount}} dollars,Billing,Neutral
how could I report problems with payment?,Billing,Negative
checking purchase {{Order Number}} status,Product Inquiry,Neutral
i want assistance to locatr my bill #00108,Billing,Positive
can you help me see purchase {{Order Number}} current status?,Product Inquiry,Positive
i have got to see how soon can i expect my delivery,Product Inquiry,Neutral
i do not know what i have to do to ask for a rebate of money,Billing,Neutral
want help to see ur allowedpayment modalities,Billing,Positive
where can i unsubscribe from ur fucking  newsletter,Technical Support,Neutral
check the withdrawal fees,Technical Support,Neutral
need assiwtance seeing the ETA of the order {{Order Number}},Product Inquiry,Neutral
"I can no longer afford order {{Order Number}}, cancel it",Product Inquiry,Negative
where could I check the current status of my restitution?,Billing,Neutral
i want help to report an error with signup,Technical Support,Positive
I would like to list the payment modalities,Billing,Positive
I need assistance to set up a different delivery address,Product Inquiry,Neutral
I need help locatin purchase {{Order Number}},Product Inquiry,Positive
howdo i use the gold account,Account Access,Neutral
how to get my bill from {{Person Name}} ?,Billing,Neutral
where can i enter a secondary shipping address,Product Inquiry,Neutral
i want help leaving an opinion about ur services,Technical Support,Positive
deleting pro account,Account Access,Neutral
editing data on {{Account Type}} account,Account Access,Neutral
I want help setting up another delivery address,Product Inquiry,Positive
assistance seeing how soon can i expect the item,Product Inquiry,Neutral
i try ot order a few of ur item,Product Inquiry,Neutral
create {{Account Type}} account for wife,Account Access,Positive
i want help to reset my user profile pin code,Account Access,Positive
wanna see at what time i can reach customer assistance,Technical Support,Neutral
is it possibe to inform of errors with payment?,Billing,Negative
I want assistance to check how long refunds usually take,Billing,Positive
can you help me to check how soon can I expect my item?,Product Inquiry,Positive
I need help submitting some feedback about a product,Technical Support,Positive
I need help to cancel purchase {{Order Number}},Product Inquiry,Positive
i want help to check order {{Order Number}} status,Product Inquiry,Positive
can you give me information about receiving your newsletter?,Technical Support,Neutral
list your accepted payment options,Billing,Positive
correcting info on {{Account Type}} account,Account Access,Neutral
editing information on {{Account Type}} account,Account Access,Neutral
I don't know what to do to talk with an operator,Technical Support,Neutral
can I order from {{Delivery Country}}?,Product Inquiry,Neutral
I do not know what to do to get the invoice #37777,Billing,Neutral
could you tell me about shipping periods?,Product Inquiry,Neutral
wanna see what shipment methods i can choose how do i do it,Product Inquiry,Neutral
I do not know how to write a review about your products,Technical Support,Neutral
download ibll #37777,Billing,Neutral
I need assistance changing the user information,Account Access,Neutral
I need assistance to leave feedback about your company,Technical Support,Negative
help me see what shipping methods are there,Product Inquiry,Positive
help me filing a reclamation against your company,Technical Support,Positive
I have got to locate my invoice from {{Person Name}},Billing,Neutral
ik do not know how i can notify of a sign-up problem,Technical Support,Negative
can I change an article of purchase {{Order Number}}?,Product Inquiry,Neutral
I want support modifying the shipping address,Product Inquiry,Positive
I do not know what I need to do to download the bill #85632,Billing,Neutral
I need help seeing my invoices from {{Person Name}},Billing,Positive
I don't know how to check the early exit charge,Technical Support,Neutral
assistance to see what payment options are allowed,Billing,Neutral
where can I see if there is anything new on the restitution?,Billing,Neutral
there is an issue setting up a shipping address,Product Inquiry,Neutral
I do not know how I could check the ETA of purchase {{Order Number}},Product Inquiry,Neutral
can i contact someone,Technical Support,Neutral
assistance downloading my bills from {{Person Name}},Billing,Neutral
can ya help me obtaining restitutions of my money,Billing,Positive
where can I sign up to the newsletter?,Technical Support,Neutral
could I see the billfrom {{Person Name}}?,Billing,Neutral
how can I file a customer claim against your organization?,Technical Support,Neutral
can you help me listing your allowed payment methods?,Billing,Positive
where to get a restitution of my money,Billing,Neutral
how do I acquire some articles?,Product Inquiry,Neutral
i need information about my standard account deletion,Account Access,Neutral
how to change order {{Order Number}}?,Product Inquiry,Neutral
modify data on {{Account Category}} account,Account Access,Neutral
"I want to see how soon can I expect my parcel, how to do it?",Product Inquiry,Positive
help top speak with customer assistance,Technical Support,Positive
"I need to speak with customer support, help me",Technical Support,Positive
"my experience with your brand was bad, make a consumer claim",Technical Support,Negative
I don't know what I need to do to contact customer service,Technical Support,Neutral
I have issues updating the address,Product Inquiry,Neutral
I do not know how I can list the goddamn payment methods,Billing,Negative
inform of a problem with sign-up,Technical Support,Negative
information about my fucking subscription to the newsletter,Technical Support,Neutral
can ya show me at what time customer service available is,Technical Support,Neutral
help to buy an few of your product,Product Inquiry,Positive
could I set up a delivery address?,Product Inquiry,Neutral
I need assistance to shop a few of your item,Product Inquiry,Neutral
there are issues trying to update the goddamn address,Product Inquiry,Negative
can uhelpp me filing a reclamation against ur business,Technical Support,Neutral
help solving troubles with online payment,Billing,Positive
assistance seeing in what cases can i request reimbursements,Billing,Neutral
I'm trying to submit some feedback about a service,Technical Support,Neutral
how to modify order {{Order Number}},Product Inquiry,Neutral
help to check in which cases can i erquest my money back,Billing,Positive
is there an address to submit an opinion for ur company,Technical Support,Neutral
I want to report a problem with payment,Billing,Negative
could i order feom {{Delivery City}},Product Inquiry,Neutral
customer reclamation against your organzation,Technical Support,Neutral
need help notifying of issueswith sign-up,Technical Support,Positive
help unsubscribing from ur damnnewsletter,Technical Support,Positive
can i check purchase {{Order Number}} status,Product Inquiry,Neutral
information about the removal of a {{Account Type}} account,Account Access,Neutral
assistance cancelling purchase {{Order Number}},Product Inquiry,Negative
checking invoice from 4 purchases ago,Billing,Neutral
I need to receive a refund of my money,Billing,Neutral
I try to see when will my product arrive,Product Inquiry,Neutral
how to check how soon can I expect my parcel?,Product Inquiry,Neutral
I do not know what to do to remove my standard account,Account Access,Neutral
i need help to notify of an issue with payment,Billing,Positive
I have to check in which cases can I request refdunds,Billing,Neutral
i need assistance checking my rebate status,Billing,Neutral
mldifying {{Account Category}} account,Account Access,Neutral
is it possibleto place an order from {{Delivery City}},Product Inquiry,Neutral
help speaking to a human agent,Technical Support,Positive
check order {{Order Number}} status,Product Inquiry,Neutral
could you help me create a standard account for my daughter?,Account Access,Positive
talk to assistant,Technical Support,Neutral
I need to see in which cases can I ask for reimbursements,Billing,Neutral
I need help to see the early exit fees,Technical Support,Positive
i need help seeing the delivery methods,Product Inquiry,Positive
I need helprestoring my user access key,Account Access,Neutral
I don't know what to do to see the delivery options,Product Inquiry,Neutral
help recovering my profile access key,Account Access,Positive
is it possible to purchase some articles?,Product Inquiry,Neutral
there is a problem trying to edit the address,Product Inquiry,Negative
I'm trying to see how long it takes for my product to arrive,Product Inquiry,Neutral
where to unsubscribe to your newsletter?,Technical Support,Neutral
I need to list th payment methods,Billing,Neutral
could you help me to see how soon can I expect the product?,Product Inquiry,Positive
ya have an address to submit some feednack,Technical Support,Neutral
"I want to switch an item of order {{Order Number}}, help me",Product Inquiry,Positive
how do i receive the corporate newsletter,Technical Support,Neutral
check the allowed payment options,Billing,Neutral
how do I update my delivery address?,Product Inquiry,Neutral
where to see at what time I can call customer support?,Technical Support,Positive
help making a consumer claim against your organization,Technical Support,Positive
I need assistance seeing how soon can I expect the purchase,Product Inquiry,Neutral
y i cant set my secondary deilvery address valid up,Product Inquiry,Neutral
can ya help me informing  of problems with online payment,Billing,Neutral
"I need to call damn customer support, how could I do it?",Technical Support,Neutral
I need help seeing the termination fees,Technical Support,Positive
i have got to check the early exit pnalty,Technical Support,Neutral
need assistance to obtain a refund of my money,Billing,Neutral
need to change my shipping address,Product Inquiry,Neutral
can you help me solve a problem with online payment?,Billing,Positive
want assistance to leave an opinion about a service,Technical Support,Neutral
I need help to check what shipping methods are available,Product Inquiry,Positive
I don't know how I can check the withdrawal penalty,Technical Support,Negative
I try to lodge a consumer claim against your organization,Technical Support,Neutral
how to use the freemium profile?,Account Access,Neutral
I expect a compensation of {{Refund Amount}} dollars,Billing,Neutral
I don't know what I have to do to see the bill #00108,Billing,Neutral
updating data on {{Account Type}} account,Account Access,Neutral
could you tell me more about changing my delivery address?,Product Inquiry,Neutral
do you have a method to submit a review for your products?,Technical Support,Neutral
ned assistance checking ur available payment methods,Billing,Neutral
help me shop several of your product,Product Inquiry,Positive
submitting product review,Technical Support,Neutral
i want assistance solving a trouble with online payment,Billing,Neutral
check your money back policy,Billing,Neutral
assistance to order some  of ur item,Product Inquiry,Neutral
is there a method to send some feedback for ur products,Technical Support,Neutral
help purchasing some bloody articles,Product Inquiry,Negative
what do I have to do to see my invoice from {{Person Name}}?,Billing,Neutral
help to check what methods for delivery i have,Product Inquiry,Positive
want help to see your reimbursement policy,Billing,Positive
wanna inform of issues with payment,Billing,Neutral
can ya help me requesting a rebate of my money,Billing,Positive
I am waiting for a refund of {{Currency Symbol}}{{Refund Amount}},Billing,Neutral
i want help listing ur payment options,Billing,Positive
"I have to correct order {{Order Number}}, can you help me?",Product Inquiry,Positive
in which situations can I ask for refunds?,Billing,Neutral
"I have entered a wrong delivery address, help me changing it",Product Inquiry,Negative
where to pucrhase some items,Product Inquiry,Neutral
how can I update my bloody address?,Product Inquiry,Negative
make customer claim against your organization,Technical Support,Neutral
i have to cancel the company newsletter subscription help me,Technical Support,Positive
"I have to change purchase {{Order Number}}, help me",Product Inquiry,Positive
where could I cancel purchase {{Order Number}}?,Product Inquiry,Negative
open another premium account for mum,Account Access,Neutral
could I check how long it takes for my product to arrive?,Product Inquiry,Neutral
I need assistance earning several of your product,Product Inquiry,Neutral
"I have to cancel my subscription to the newsletter, help me",Technical Support,Positive
help solving a goddamn error with online payments,Billing,Negative
want help leaving a coment for ur products,Technical Support,Positive
"I need to check the payment methods, how can I do it?",Billing,Neutral
I'm trying to inform of an issue with payments,Billing,Neutral
"I want to check the goddamn rebate status, how to do it?",Billing,Negative
help me list your available payment methods,Billing,Positive
I need help to inform of errors with online payment,Billing,Positive
i need help to ese what hours i can reach customer support,Technical Support,Positive
assistance to recover the key of my user profile,Account Access,Neutral
troubles setting up a goddamn delivery address,Product Inquiry,Negative
I need assistance to reset the pass of my profile,Account Access,Neutral
how long till I obtain a refund of money?,Billing,Neutral
"I lost the PIN of my user, I want help to retrieve it",Account Access,Positive
I want assistance to check the goddamn payment methods,Billing,Negative
wantr help to solve issues with payment,Billing,Positive
I want assistance canceling purchase {{Order Number}},Product Inquiry,Positive
where can I check what hours I can contact customer support?,Technical Support,Positive
how to send some feedback about your company?,Technical Support,Neutral
"I have got to download the invoice #85632, how can I do it?",Billing,Neutral
I need assistance reporting a problem with a sign-up,Technical Support,Negative
need assistance to order a few of ur item,Product Inquiry,Neutral
show me purchase {{Order Number}} statud,Product Inquiry,Neutral
I need help to list the accepted payment options,Billing,Positive
I need help with cancelling order {{Order Number}},Product Inquiry,Positive
